,AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,COD_ENSE3,COD_GRADO,COD_GRADO2,LET_CUR,COD_JOR,COD_TIP_CUR,COD_DES_CUR,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,COD_REG_ALU,COD_COM_ALU,NOM_COM_ALU,COD_SEC,COD_ESPE,COD_RAMA,ENS
169160,2019,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,468100,2,200507,13,4,4101,LA SERENA,0,0,0,3
169161,2019,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,763674,1,200311,15,4,4101,LA SERENA,0,0,0,3
169162,2019,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,1004795,1,200501,14,4,4101,LA SERENA,0,0,0,3
169163,2019,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,2947981,2,200408,14,4,4101,LA SERENA,0,0,0,3
169164,2019,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,4415035,1,200610,12,4,4102,COQUIMBO,0,0,0,3
169165,2019,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,4632444,2,200407,14,4,4101,LA SERENA,0,0,0,3
169166,2019,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,7831373,2,200606,13,4,4303,MONTE PATRIA,0,0,0,3
169167,2019,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,8258289,2,200604,13,4,4102,COQUIMBO,0,0,0,3
169168,2019,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,9335457,1,200702,12,4,4101,LA SERENA,0,0,0,3
169169,2019,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,10278124,2,200602,13,4,4101,LA SERENA,0,0,0,3
169170,2019,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,10526928,2,200506,14,4,4101,LA SERENA,0,0,0,3
169171,2019,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,10950173,1,200610,12,4,4101,LA SERENA,0,0,0,3
169172,2019,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,12104106,1,200504,14,4,4101,LA SERENA,0,0,0,3
169173,2019,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,12120288,2,200409,14,4,4101,LA SERENA,0,0,0,3
169174,2019,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,12211932,2,200409,14,4,4101,LA SERENA,0,0,0,3
169175,2019,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,12306223,2,200411,14,4,4102,COQUIMBO,0,0,0,3
169176,2019,516,9,LICEO GABRIELA MISTRAL DE LA SERENA,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,1,110,2,2,7,7,A,3,0,0,12846421,1,200604,13,4,4102,COQUIMBO,0,0,0,3
