,AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
422,2019,537,1,COLEGIO LUIS BRAILLE, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,932678220000","-71,258338930000",0,213,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
423,2019,539,8,COLEGIO DE ALGARROBITO, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,939249040000","-71,146278380000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
424,2019,540,1,ESCUELA DE ISLON, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,897871020000","-71,185317990000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
425,2019,542,8,ESCUELA DE LAMBERT, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,843133930000","-71,119186400000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,7,LAICO,GRATUITO,GRATUITO
426,2019,543,6,COLEGIO ALTOVALSOL, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,1,"-29,942285540000","-71,121307370000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
427,2019,544,4,ESCUELA DE EL MILAGRO, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,1,"-29,949436190000","-71,226173400000",0,216,0,0,0,0,0,0,0,0,0,0,1,1,7,NO APLICA,GRATUITO,GRATUITO
428,2019,546,0,COLEGIO COQUIMBITO, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,915094380000","-71,149406430000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
429,2019,548,7,ESCUELA DE COLONIA ALFALFARES, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,904640200000","-71,234298710000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
430,2019,549,5,ESCUELA DE LOS CORRALES, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,1,"-30,053907390000","-71,054260250000",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2, ,GRATUITO,GRATUITO
431,2019,550,9,ESCUELA DE ALMIRANTE LATORRE, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,1,"-29,636726380000","-70,956718440000",0,110,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
