2402438,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,1,3,5,A,1,0,0,6149557,2,201203,6,4,4301,OVALLE,0,0,0,2
2402439,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,1,3,5,A,1,0,0,14411809,1,201111,6,4,4301,OVALLE,0,0,0,2
2402440,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,1,3,5,A,1,0,0,15638817,1,201206,6,3,3101,COPIAPO,0,0,0,2
2402441,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,1,3,5,A,1,0,0,17118661,1,201208,5,4,4301,OVALLE,0,0,0,2
2402442,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,1,3,5,A,1,0,0,19548756,1,201203,6,4,4301,OVALLE,0,0,0,2
2402443,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,1,3,5,A,1,0,0,23283543,1,201111,6,4,4102,COQUIMBO,0,0,0,2
2402444,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,2,5,99,A,2,0,0,1286129,1,201101,7,4,4305,RIO HURTADO,0,0,0,4
2402445,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,2,5,99,A,2,0,0,11306253,2,201008,7,4,4301,OVALLE,0,0,0,4
2402446,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,2,5,99,A,2,0,0,14585326,1,201009,7,4,4301,OVALLE,0,0,0,4
2402447,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,2,5,99,A,2,0,0,15131875,1,201004,8,4,4301,OVALLE,0,0,0,4
2402448,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,2,5,99,A,2,0,0,19640706,1,201004,8,4,4301,OVALLE,0,0,0,4
2402449,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,2,5,99,A,2,0,0,22767086,1,200902,9,4,4301,OVALLE,0,0,0,4
2402450,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,2,6,99,A,2,0,0,5322705,2,200703,11,4,4301,OVALLE,0,0,0,4
2402451,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,2,6,99,A,2,0,0,6642860,1,200910,8,4,4301,OVALLE,0,0,0,4
2402452,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,2,6,99,A,2,0,0,7166293,2,200702,11,4,4301,OVALLE,0,0,0,4
2402453,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,2,6,99,A,2,0,0,7427792,2,200904,9,4,4301,OVALLE,0,0,0,4
2402454,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,2,6,99,A,2,0,0,15036691,1,200812,9,4,4301,OVALLE,0,0,0,4
2402455,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,2,6,99,A,2,0,0,15855243,1,200903,9,4,4301,OVALLE,0,0,0,4
2402456,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,2,6,99,A,2,0,0,17966952,2,200710,10,4,4301,OVALLE,0,0,0,4
2402457,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,2,6,99,A,2,0,0,24950104,1,200904,9,4,4301,OVALLE,0,0,0,4
2402458,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,2,7,99,A,1,0,0,13564521,1,200704,11,4,4301,OVALLE,0,0,0,4
2402459,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,2,7,99,A,1,0,0,18582251,2,200512,12,4,4301,OVALLE,0,0,0,4
2402460,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,2,7,99,A,1,0,0,18607790,1,200605,12,4,4301,OVALLE,0,0,0,4
2402461,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,2,7,99,A,1,0,0,18848616,2,200803,10,4,4301,OVALLE,0,0,0,4
2402462,2018,13630,1,ESCUELA ESPECIAL DESPERTARES,4,43,4301,OVALLE,42,LIMARI,3,2,0,1,212,4,2,7,99,A,1,0,0,21277434,1,200609,11,4,4301,OVALLE,0,0,0,4
